Time(s),Voltage(V)
-4.460000000000000497e-06,1.199999999999999956e-01
-4.449999999999999746e-06,8.000000000000000167e-02
-4.439999999999999841e-06,0.000000000000000000e+00
-4.429999999999999937e-06,4.000000000000000083e-02
-4.420000000000000033e-06,0.000000000000000000e+00
-4.410000000000000129e-06,0.000000000000000000e+00
-4.400000000000000224e-06,4.000000000000000083e-02
-4.390000000000000320e-06,0.000000000000000000e+00
-4.380000000000000416e-06,-8.000000000000000167e-02
-4.370000000000000512e-06,8.000000000000000167e-02
-4.359999999999999760e-06,4.000000000000000083e-02
-4.349999999999999856e-06,4.000000000000000083e-02
-4.339999999999999952e-06,0.000000000000000000e+00
-4.330000000000000048e-06,8.000000000000000167e-02
-4.320000000000000143e-06,4.000000000000000083e-02
-4.310000000000000239e-06,0.000000000000000000e+00
-4.300000000000000335e-06,4.000000000000000083e-02
-4.290000000000000431e-06,4.000000000000000083e-02
-4.279999999999999679e-06,8.000000000000000167e-02
-4.269999999999999775e-06,0.000000000000000000e+00
-4.259999999999999871e-06,0.000000000000000000e+00
-4.249999999999999966e-06,4.000000000000000083e-02
-4.240000000000000062e-06,4.000000000000000083e-02
-4.230000000000000158e-06,0.000000000000000000e+00
-4.220000000000000254e-06,8.000000000000000167e-02
-4.210000000000000349e-06,0.000000000000000000e+00
-4.200000000000000445e-06,4.000000000000000083e-02
-4.189999999999999694e-06,0.000000000000000000e+00
-4.179999999999999790e-06,4.000000000000000083e-02
-4.169999999999999885e-06,8.000000000000000167e-02
-4.159999999999999981e-06,8.000000000000000167e-02
-4.150000000000000077e-06,4.000000000000000083e-02
-4.140000000000000173e-06,0.000000000000000000e+00
-4.130000000000000268e-06,0.000000000000000000e+00
-4.120000000000000364e-06,0.000000000000000000e+00
-4.110000000000000460e-06,0.000000000000000000e+00
-4.099999999999999709e-06,8.000000000000000167e-02
-4.089999999999999804e-06,4.000000000000000083e-02
-4.079999999999999900e-06,4.000000000000000083e-02
-4.069999999999999996e-06,4.000000000000000083e-02
-4.060000000000000092e-06,0.000000000000000000e+00
-4.050000000000000187e-06,-4.000000000000000083e-02
-4.040000000000000283e-06,4.000000000000000083e-02
-4.030000000000000379e-06,0.000000000000000000e+00
-4.020000000000000475e-06,0.000000000000000000e+00
