Index,S0_uW,S1_uW,S2_uW,S3_uW
1,217.0358428955078,62.1094970703125,-200.61996459960938,61.043609619140625
2,217.13427734375,-31.150131225585938,-209.62124633789062,69.03996276855469
3,222.83750915527344,-162.91574096679688,-69.25001525878906,128.7930145263672
4,218.57357788085938,-161.91079711914062,-62.78440856933594,142.90570068359375
5,220.05177307128906,-87.08073425292969,-187.38046264648438,76.02456665039062
6,219.87786865234375,-126.07826232910156,-151.58712768554688,106.73919677734375
7,219.54197692871094,-77.45652770996094,-193.71392822265625,56.08940124511719
8,216.76104736328125,120.18107604980469,-137.5440216064453,118.62168884277344
9,219.01596069335938,-10.868133544921875,-197.48056030273438,98.78190612792969
10,220.0887908935547,-152.64614868164062,-116.39247131347656,99.77403259277344
11,217.928466796875,-176.46192932128906,-44.51274108886719,124.71322631835938
12,218.89175415039062,-0.416778564453125,-203.83290100097656,90.95187377929688
13,219.69583129882812,98.88925170898438,-176.78955078125,89.26200866699219
14,220.39297485351562,-54.07936096191406,-192.77462768554688,90.23031616210938
15,215.99688720703125,-167.1796112060547,-91.57872009277344,106.96351623535156
16,216.94363403320312,-96.97624206542969,-192.31729125976562,50.08244323730469
17,217.53024291992188,45.11433410644531,-190.19874572753906,103.54183959960938
18,215.9966278076172,16.948074340820312,-201.9641876220703,85.63545227050781
19,221.99034118652344,-78.53225708007812,-174.9546661376953,105.41911315917969
20,220.10765075683594,-123.21919250488281,-168.0426025390625,66.68594360351562
21,220.65362548828125,-113.26112365722656,-167.53208923339844,80.50312805175781
22,218.27169799804688,-49.546875,-180.4418182373047,113.75283813476562
23,220.6206817626953,-26.741485595703125,-202.63067626953125,87.02680969238281
24,222.15615844726562,-119.69290161132812,-148.0750274658203,106.16964721679688
25,219.37969970703125,-125.61029052734375,-179.846923828125,49.4407958984375
26,218.27110290527344,70.12554931640625,-176.96624755859375,105.26638793945312
27,218.0234375,103.07487487792969,-130.55386352539062,139.85995483398438
28,217.98486328125,-81.99734497070312,-190.04234313964844,83.22236633300781
29,223.46487426757812,-213.34030151367188,-34.13224792480469,61.666473388671875
30,221.4108428955078,-199.9849395751953,-62.73014831542969,69.4166259765625
31,215.2741241455078,-21.920074462890625,-183.5218505859375,118.18344116210938
32,217.7210693359375,96.09161376953125,-149.74493408203125,121.66731262207031
33,220.08871459960938,-127.97489929199219,-116.3551025390625,132.6857452392578
34,221.96990966796875,-157.03955078125,77.62518310546875,130.86972045898438
35,222.38255310058594,-182.47616577148438,54.216033935546875,116.01991271972656
36,221.23410034179688,-153.8223419189453,-142.6318817138672,74.79473876953125
37,214.71299743652344,54.90179443359375,-162.84024047851562,136.0449981689453
38,216.05650329589844,98.36817932128906,-133.82334899902344,138.1581573486328
39,221.11996459960938,-69.33290100097656,-189.7806854248047,88.78018188476562
40,220.0724639892578,-197.82525634765625,-53.66975402832031,85.214111328125
41,219.67442321777344,-193.61363220214844,-45.73124694824219,98.83036804199219
42,217.09127807617188,-57.14244079589844,-181.35028076171875,113.2918701171875
43,217.00949096679688,64.65713500976562,-156.8951416015625,142.51449584960938
44,220.72592163085938,-30.1905517578125,-206.31463623046875,72.51649475097656
45,220.5615234375,-201.5140838623047,-80.92965698242188,52.06256103515625
46,219.2170867919922,-201.82008361816406,0.0789794921875,102.07852172851562
47,216.06898498535156,-44.02012634277344,-187.7510986328125,112.86695861816406
48,219.95518493652344,122.19279479980469,-63.70167541503906,169.00711059570312
49,219.57106018066406,48.42271423339844,-173.9562225341797,125.05049133300781
50,220.89236450195312,-160.56663513183594,-150.54730224609375,27.21722412109375
