S0,S1,S2,S3
8.618737202126161012e-01,2.796585791351135497e-01,-2.147537329729588274e-01,7.710561102570009928e-02
8.591906911258074819e-01,2.703346548854876352e-01,-2.162803908858721980e-01,9.774523833117619576e-02
8.594128571696224572e-01,2.514198738108699427e-01,-2.157888825688302481e-01,7.735058568625959030e-02
8.565360304577774864e-01,2.452438502872480164e-01,-2.086737765433149538e-01,8.322122767488558670e-02
8.575155951774080521e-01,2.250643099104244205e-01,-2.126848168202617184e-01,8.033568397301638075e-02
8.512149141857326962e-01,2.150467145929413071e-01,-1.958040977945676719e-01,8.556110699493972571e-02
8.561767743358981164e-01,1.952319931492245975e-01,-2.096503825716316827e-01,7.960274579082209090e-02
8.553172353402219708e-01,1.770122150121924143e-01,-2.132100639012270982e-01,8.019410003126969944e-02
8.550729089326010168e-01,1.752736040392153249e-01,-1.765357714785277532e-01,9.132980485124522763e-02
8.572044256021689179e-01,1.628648888362523584e-01,-1.895451136744262244e-01,9.004831913003796817e-02
8.554933896209214739e-01,1.420052515574502239e-01,-1.866377636223589265e-01,6.060160294516802465e-02
8.539580901469265850e-01,1.375209668070218882e-01,-1.777503815059097991e-01,6.924957531266502653e-02
8.521463125536842265e-01,1.208353853649958981e-01,-1.845979101906140563e-01,5.743082848133461427e-02
8.517918833316519001e-01,1.061988052111392383e-01,-1.788450769291842768e-01,4.789579650365676650e-02
8.487351854897183800e-01,9.915027569844149513e-02,-1.576706867639617871e-01,4.282998851119595995e-02
8.495656583051185429e-01,8.356983465434476843e-02,-1.673421067205195789e-01,3.559250085666281621e-02
8.502724212061932851e-01,7.066472331998763234e-02,-1.551863865184975322e-01,2.922459188729364249e-02
8.534186173342599435e-01,7.078572664477704446e-02,-1.428276011891607411e-01,2.315730939794272483e-02
8.552113978056146149e-01,5.255136435442139126e-02,-1.387524276528361300e-01,3.562778666655488230e-02
8.514220621977498515e-01,3.928817623507559198e-02,-1.333830353050375062e-01,2.196185716929825033e-02
8.523767752751463256e-01,3.155170133965786577e-02,-1.409894641511678925e-01,-5.904999527589500918e-03
8.492381401987000311e-01,2.847038095447705988e-02,-1.184574015190709567e-01,1.712141106483464547e-03
8.521952882526430129e-01,2.155562110653575641e-02,-1.105872242485358425e-01,-1.793783460398032034e-02
8.507034641235888817e-01,6.269729244194587221e-03,-1.089968820326242122e-01,-2.333297476819797683e-02
8.491486904581432293e-01,-1.353844582339145970e-03,-1.064709869114366658e-01,-2.842071989156698050e-02
8.465683320380726906e-01,3.432575318337356685e-03,-9.709443363357776746e-02,-3.897741238117686385e-02
8.459289667150520220e-01,-2.721122192984164537e-03,-8.221157023551370346e-02,-5.037660675774288666e-02
8.492796956048309642e-01,-1.793584248294488939e-02,-9.131165936568827468e-02,-5.949049502700296671e-02
8.495798793027362628e-01,-1.756064014795562581e-02,-8.747882263588445395e-02,-7.850024940350314173e-02
8.469265550714443203e-01,-1.836404208030667159e-02,-5.664656010706880379e-02,-7.222741292857282058e-02
8.509303613279362022e-01,-1.947509031384862116e-02,-5.321633749057793489e-02,-8.095365683221603104e-02
8.510510725466335913e-01,-2.355912669433027351e-02,-3.556473493360429866e-02,-1.023629561840828511e-01
8.422299363247613968e-01,-2.663906096242851795e-02,-5.013652956764832330e-02,-1.081961037703391970e-01
8.496634037820306462e-01,-2.968052840779460827e-02,-3.000405539674294922e-02,-1.141167411849434987e-01
8.508904586195126241e-01,-2.358057289344023949e-02,-2.910516720350971726e-02,-1.261058813090880359e-01
8.494409847382135004e-01,-2.255191358466782439e-02,-6.406633975832040293e-03,-1.331981331635321564e-01
8.458733775939054622e-01,-2.336488995498306812e-02,-5.874748226999153798e-03,-1.461306995072719772e-01
8.497144814539850932e-01,-2.331787241617416795e-02,1.262403325392406428e-03,-1.518703019684763400e-01
8.503710458509597947e-01,-1.729990341661703096e-02,1.634622857194263992e-02,-1.685572956698392078e-01
8.485085204942173220e-01,-1.523074992608760767e-02,1.844019257761674371e-02,-1.824285630144845960e-01
8.521303688212571448e-01,-1.423166207076816646e-02,1.839100031236824348e-02,-1.977705593003987183e-01
8.521747506291396101e-01,-7.607405601447117180e-03,3.252019611455136266e-02,-2.033559172080839084e-01
8.505420274570537620e-01,-2.992838473663488041e-03,4.299006596255321860e-02,-2.095274304495308437e-01
8.480200262756513174e-01,2.852394932993272333e-03,4.454425006830643047e-02,-2.247356221545915578e-01
8.505676118844746059e-01,8.803140490557477549e-03,3.924144079018951348e-02,-2.351379582817031133e-01
8.460657644904076014e-01,8.826209444216127215e-03,5.921465642212752484e-02,-2.305535294623153597e-01
8.480386665197616747e-01,2.854083956040602207e-02,5.945579360633550248e-02,-2.538806419778303902e-01
8.518423362340488136e-01,2.134146156636081149e-02,6.249196565118893959e-02,-2.529864083639308259e-01
8.509820590072166846e-01,3.369701282784662300e-02,6.164362433301235483e-02,-2.781213374577359287e-01
8.531140937739331020e-01,5.151358843618766836e-02,8.225099681642790428e-02,-2.815541488292652716e-01
8.584730774935246389e-01,5.758066800811580815e-02,7.547094909885034009e-02,-2.821793618911153656e-01
8.503187681322427194e-01,7.045684983161272508e-02,8.641964573530351579e-02,-2.862458694330983211e-01
8.565302897473526800e-01,8.169979210812962356e-02,9.985717945031394316e-02,-3.048627153210876073e-01
8.490253662025775139e-01,7.803796244978689067e-02,8.274184625388003589e-02,-3.080633821826732621e-01
8.530950070324301304e-01,1.052921230509214073e-01,1.108614280812757064e-01,-3.101873531860588895e-01
8.558334775897276092e-01,1.163885195973410475e-01,9.985355626875215551e-02,-3.295414768865717048e-01
8.514949247724336034e-01,1.286965152650542399e-01,1.028395188873435506e-01,-3.270273320669193073e-01
8.522365411916642541e-01,1.355087155343331351e-01,1.001455506376125182e-01,-3.371507592739035331e-01
8.512949634677584587e-01,1.525255638927884294e-01,1.035148574943086097e-01,-3.240374682481789170e-01
8.566601063086300982e-01,1.744171642513789033e-01,1.168755527446196929e-01,-3.389014110471378904e-01
8.501834402986822026e-01,1.756112206760503391e-01,1.045303773043333578e-01,-3.372978366827527608e-01
8.526188270252091916e-01,1.921784560850371693e-01,9.481583454197987926e-02,-3.466744680092574971e-01
8.582512221077223113e-01,2.119790113422145017e-01,1.043880382697974646e-01,-3.414740755732689204e-01
8.575180490064566730e-01,2.122971186652780340e-01,8.699974457507460290e-02,-3.484555154292715007e-01
8.600136245721615724e-01,2.333018728464348324e-01,9.623623998407664082e-02,-3.404795542382150764e-01
8.600799683313820054e-01,2.571746292433237380e-01,1.210560745142930800e-01,-3.359394504785514490e-01
8.595602068595604717e-01,2.712397969097252726e-01,9.094137377348873730e-02,-3.430061902448903743e-01
8.603239620841217628e-01,2.736923678530867043e-01,8.935768577851556371e-02,-3.534449021046510153e-01
8.636355748569424229e-01,2.999084208465747081e-01,9.642582868038908350e-02,-3.467106776026391834e-01
8.630840685635456921e-01,3.081471262572953451e-01,8.584328297699241050e-02,-3.376312182149384666e-01
8.587206047585127511e-01,3.213760858947734556e-01,1.042850119920085139e-01,-3.369207686610847241e-01
8.577508304563794539e-01,3.335159956452886099e-01,9.036172830022261293e-02,-3.387940974158856755e-01
8.592332328702864119e-01,3.542855195488787134e-01,7.128141598565362891e-02,-3.294144739755050511e-01
8.613700681731621955e-01,3.657908709109471967e-01,8.456510791166936547e-02,-3.298950784473181352e-01
8.612137676983530055e-01,3.814491370871261888e-01,7.900693215133158809e-02,-3.290394061145210935e-01
8.607189845502396519e-01,3.863393805762033173e-01,6.127763553383774875e-02,-3.364622052750586012e-01
8.644647235835792864e-01,4.041011411394706543e-01,5.703628037334254608e-02,-3.221411524955477002e-01
8.606864809065617461e-01,4.173774756628084726e-01,6.338923072729975294e-02,-3.114015686920250103e-01
8.619468356763242411e-01,4.216545931196930552e-01,6.135659509214049651e-02,-2.981939572821085127e-01
8.657552080970388753e-01,4.484436763075771437e-01,3.895993879461453341e-02,-2.972078565344548062e-01
8.643680420486254956e-01,4.521696411997853660e-01,4.070226159968445140e-02,-2.903797060624819792e-01
8.628667089192891826e-01,4.677098544406538272e-01,3.370572408989487567e-02,-2.739216832050319628e-01
8.641585359284249535e-01,4.770366336754617298e-01,3.400302604707677867e-02,-2.663636981789508917e-01
8.625822421440009213e-01,4.838540653163754257e-01,1.663003171286155796e-02,-2.663326807532908069e-01
8.670622704082693311e-01,4.953510177108500501e-01,1.726785938277061727e-02,-2.567332293551828903e-01
8.661238435600593366e-01,5.089073914218803507e-01,-2.189050736391233258e-03,-2.509226269924632602e-01
8.614960818231514050e-01,5.124188762699850574e-01,-1.392663296648534443e-03,-2.300791949595091257e-01
8.653912200172619862e-01,5.180087815811350582e-01,-1.252305998412243590e-02,-2.383589123565799106e-01
8.665417852410537414e-01,5.256063438390367049e-01,-2.046744679529119426e-02,-2.119929193342862950e-01
8.630973404895162515e-01,5.273941570564575354e-01,-3.757083362417164285e-02,-2.126557039048407594e-01
8.629548100108485054e-01,5.250075778429595941e-01,-3.048258207843796905e-02,-2.012032547640876801e-01
8.691909126512622485e-01,5.323253202448884336e-01,-5.058334311950982154e-02,-1.968901529537644968e-01
8.654661927723343862e-01,5.263850922564770052e-01,-6.281809657622670906e-02,-1.878359560773484871e-01
8.646788760122201545e-01,5.321718298229729527e-01,-6.104479862440118088e-02,-1.761739867288190653e-01
8.654920216628593232e-01,5.337838750602081905e-01,-7.497878212219753757e-02,-1.552687539688430984e-01
8.680226499683080243e-01,5.436346058029970507e-01,-7.287195551932861004e-02,-1.489048041507252673e-01
8.678887101492819278e-01,5.368941663480532034e-01,-7.579964073540339242e-02,-1.365296153268852897e-01
8.641326608315004210e-01,5.355038505002476246e-01,-1.006536958835388268e-01,-1.272379456787807450e-01
8.632075871294531133e-01,5.446506278538382206e-01,-1.016260717523801704e-01,-1.105504729975266970e-01
8.660486066405391758e-01,5.488803902242767041e-01,-1.111054581106041550e-01,-8.511745025037521784e-02
8.666090939415020955e-01,5.325494302717308504e-01,-1.110722492420909008e-01,-8.714097678147364467e-02
8.698415273054760366e-01,5.317527506544869054e-01,-1.295418875018138627e-01,-8.146388891613985661e-02
8.631159981325088326e-01,5.292532007760644142e-01,-1.359295322685781793e-01,-7.450051706303606469e-02
8.643574497193151629e-01,5.245583280778607360e-01,-1.462883045778442248e-01,-6.480401086352914619e-02
8.603306847667411272e-01,5.145512013922928229e-01,-1.470048937239834264e-01,-6.685344470301549102e-02
8.673513493554276810e-01,5.256167898481434175e-01,-1.401521961783472880e-01,-4.239988099110414410e-02
8.669111917677930768e-01,5.094863215112265253e-01,-1.568207211987572014e-01,-2.420317070332902651e-02
8.694681082339220657e-01,5.010341450393046570e-01,-1.686820426456085709e-01,-2.546121515590370199e-02
8.681561721951279731e-01,4.943410523176414717e-01,-1.756867088456386117e-01,-6.164276015478834143e-03
8.608268099135822915e-01,4.919247599870301690e-01,-1.808427506238285409e-01,4.879189098017526309e-03
8.613668436555562691e-01,4.796421567422621268e-01,-1.825001611425571268e-01,2.325251466680082566e-03
8.630038258186412126e-01,4.592451982409899713e-01,-1.925665858746290204e-01,2.811737712940608810e-03
8.640141792040099133e-01,4.583621538435308507e-01,-1.918064711210033246e-01,2.990735606108387706e-02
8.633114570167166324e-01,4.443998345408376460e-01,-1.986596884793258300e-01,1.953366571206933619e-02
