S0,S1,S2,S3
1.030343022199516012e+00,6.937499592488595157e-01,8.197826121693819745e-01,3.079791543105706020e-01
1.032173055135291673e+00,6.855112441131331336e-01,8.358924952504626082e-01,3.161892588550024308e-01
1.036061316393108056e+00,6.784743140621487534e-01,8.594519386848588072e-01,3.183730113998755606e-01
1.036962177170821953e+00,6.679529661713985433e-01,8.692833149098656564e-01,3.203468326720761983e-01
1.038702242566407419e+00,6.594364802491767819e-01,8.836302541679685874e-01,3.188757403306708982e-01
1.037650593444377822e+00,6.489476647076194427e-01,8.940119175522275308e-01,3.219829319888625196e-01
1.040555453508633654e+00,6.418300635673880317e-01,9.167444574815284408e-01,3.229531667922866389e-01
1.043199943432328025e+00,6.347522627355522973e-01,9.383980573360027888e-01,3.280628781089127699e-01
1.043358217350924599e+00,6.217741142528654397e-01,9.475774118531121726e-01,3.302757484683043199e-01
1.044201763506803049e+00,6.113750069151329125e-01,9.577331708535384847e-01,3.334058081202276869e-01
1.048591387409281372e+00,6.047288680839499886e-01,9.811333911414138464e-01,3.330471023668136188e-01
1.048260291549104162e+00,5.934404497003323842e-01,9.882008196668097266e-01,3.311241474260021023e-01
1.048141845656689997e+00,5.833670739445849796e-01,9.970707138584777862e-01,3.272476577920583329e-01
1.051933234381317472e+00,5.795728101167384461e-01,1.023751745124255930e+00,3.243919214584549682e-01
1.051063251899644779e+00,5.686861060123129530e-01,1.035154538735022056e+00,3.160283930370342276e-01
1.051329338297438909e+00,5.602696381636638190e-01,1.047872731988257922e+00,3.129297510985550868e-01
1.052508006493464876e+00,5.512148063492283701e-01,1.064077337577349347e+00,3.074364870334463928e-01
1.052067509716205773e+00,5.396390931110273126e-01,1.068190193096886897e+00,2.996706514699413182e-01
1.052111520445247805e+00,5.274678894751705371e-01,1.072303572261610105e+00,2.963781120553033999e-01
1.053941979490053749e+00,5.184088647943710937e-01,1.085052567688870928e+00,2.938997969644385200e-01
