# TimestampUTC='2026/07/09 15:59:14.580114500';
# ATE=4;
# SamplePeriod_ns=160;
# ME=10;
# Data1Name='Power';
# PowerLeftShift=5;
# Normalization=1;
# NonNormPowRef=1000;
# TriggerGatingReg=32777;
# DynamicUnderSampling=0;
# CyclicRecording=0;
0,   17425,   17821,   5256,   23093
160,   17425,   17776,   5256,   23093
320,   17432,   17778,   5246,   23099
480,   17422,   17821,   5241,   23078
640,   17445,   17806,   5256,   23108
800,   17460,   17804,   5247,   23096
960,   17468,   17820,   5236,   23087
1120,   17459,   17804,   5247,   23096
1280,   17481,   17772,   5272,   23104
1440,   17493,   17802,   5242,   23104
1600,   17482,   17790,   5236,   23117
1760,   17481,   17789,   5262,   23096
1920,   17482,   17758,   5257,   23134
2080,   17460,   17789,   5247,   23125
2240,   17452,   17759,   5276,   23111
2400,   17450,   17790,   5251,   23132
2560,   17452,   17775,   5251,   23117
2720,   17439,   17821,   5241,   23093
2880,   17431,   17806,   5256,   23108
3040,   17423,   17761,   5256,   23093
3200,   17438,   17804,   5262,   23111
3360,   17435,   17821,   5256,   23093
3520,   17454,   17789,   5247,   23096
3680,   17479,   17789,   5247,   23096
3840,   17492,   17802,   5257,   23089
4000,   17497,   17819,   5232,   23081
4160,   17495,   17832,   5242,   23075
4320,   17477,   17789,   5247,   23111
4480,   17493,   17802,   5257,   23104
4640,   17487,   17758,   5257,   23104
4800,   17485,   17787,   5257,   23075
4960,   17476,   17787,   5272,   23104
5120,   17482,   17804,   5247,   23096
5280,   17462,   17805,   5251,   23087
5440,   17435,   17763,   5246,   23129
5600,   17451,   17775,   5281,   23087
5760,   17455,   17790,   5266,   23087
5920,   17463,   17790,   5266,   23087
6080,   17442,   17806,   5241,   23108
6240,   17454,   17775,   5266,   23102
6400,   17457,   17789,   5262,   23111
6560,   17484,   17789,   5247,   23096
6720,   17486,   17789,   5247,   23096
6880,   17498,   17804,   5232,   23096
7040,   17483,   17789,   5262,   23125
7200,   17491,   17787,   5242,   23104
7360,   17507,   17801,   5267,   23098
7520,   17496,   17787,   5257,   23104
7680,   17495,   17817,   5242,   23089
7840,   17488,   17820,   5221,   23102
8000,   17465,   17806,   5241,   23108
8160,   17470,   17806,   5241,   23093
8320,   17455,   17778,   5246,   23099
8480,   17462,   17791,   5241,   23108
