"Record Length",100000,"Points",-0.0005,1.212000002
"Sample Interval",1E-08,s,-0.00049999,1.224000003
"Trigger Point",50000,"Samples",-0.00049998,1.224000003
"Trigger Time",9.4027124036802E-09,s,-0.00049997,1.236000003
"",,,-0.00049996,1.236000003
"Horizontal Offset",-0.0005,s,-0.00049995,1.236000003
,,,-0.00049994,1.236000003
,,,-0.00049993,1.212000002
,,,-0.00049992,1.236000003
,,,-0.00049991,1.200000002
,,,-0.0004999,1.224000003
,,,-0.00049989,1.224000003
,,,-0.00049988,1.200000002
,,,-0.00049987,1.212000002
,,,-0.00049986,1.236000003
,,,-0.00049985,1.212000002
,,,-0.00049984,1.224000003
,,,-0.00049983,1.224000003
,,,-0.00049982,1.224000003
,,,-0.00049981,1.236000003
,,,-0.0004998,1.224000003
,,,-0.00049979,1.224000003
,,,-0.00049978,1.236000003
,,,-0.00049977,1.236000003
,,,-0.00049976,1.212000002
,,,-0.00049975,1.224000003
,,,-0.00049974,1.236000003
,,,-0.00049973,1.212000002
,,,-0.00049972,1.224000003
,,,-0.00049971,1.212000002
,,,-0.0004997,1.224000003
,,,-0.00049969,1.236000003
,,,-0.00049968,1.212000002
,,,-0.00049967,1.224000003
,,,-0.00049966,1.224000003
,,,-0.00049965,1.236000003
,,,-0.00049964,1.224000003
,,,-0.00049963,1.212000002
,,,-0.00049962,1.236000003
,,,-0.00049961,1.224000003
,,,-0.0004996,1.212000002
,,,-0.00049959,1.236000003
,,,-0.00049958,1.224000003
,,,-0.00049957,1.224000003
,,,-0.00049956,1.212000002
,,,-0.00049955,1.236000003
,,,-0.00049954,1.224000003
,,,-0.00049953,1.224000003
,,,-0.00049952,1.224000003
,,,-0.00049951,1.236000003
,,,-0.0004995,1.248000004
,,,-0.00049949,1.224000003
,,,-0.00049948,1.224000003
,,,-0.00049947,1.212000002
,,,-0.00049946,1.236000003
,,,-0.00049945,1.224000003
,,,-0.00049944,1.224000003
,,,-0.00049943,1.224000003
,,,-0.00049942,1.236000003
,,,-0.00049941,1.236000003
,,,-0.0004994,1.236000003
,,,-0.00049939,1.224000003
,,,-0.00049938,1.236000003
,,,-0.00049937,1.236000003
,,,-0.00049936,1.224000003
,,,-0.00049935,1.236000003
,,,-0.00049934,1.212000002
,,,-0.00049933,1.200000002
,,,-0.00049932,1.236000003
,,,-0.00049931,1.236000003
,,,-0.0004993,1.224000003
,,,-0.00049929,1.224000003
,,,-0.00049928,1.212000002
,,,-0.00049927,1.224000003
,,,-0.00049926,1.236000003
,,,-0.00049925,1.200000002
,,,-0.00049924,1.212000002
,,,-0.00049923,1.212000002
,,,-0.00049922,1.212000002
,,,-0.00049921,1.236000003
,,,-0.0004992,1.224000003
,,,-0.00049919,1.224000003
,,,-0.00049918,1.200000002
,,,-0.00049917,1.212000002
,,,-0.00049916,1.224000003
,,,-0.00049915,1.224000003
,,,-0.00049914,1.212000002
,,,-0.00049913,1.236000003
,,,-0.00049912,1.224000003
,,,-0.00049911,1.236000003
,,,-0.0004991,1.224000003
,,,-0.00049909,1.236000003
,,,-0.00049908,1.212000002
,,,-0.00049907,1.224000003
