# TimestampUTC='2026/06/25 13:39:09.915928500';
# ATE=3;
# SamplePeriod_ns=80;
# ME=15;
# Data1Name='Power';
# PowerLeftShift=6;
# Normalization=1;
# NonNormPowRef=1000;
# TriggerGatingReg=32777;
# DynamicUnderSampling=0;
# CyclicRecording=0;
0,   21126,   30119,   46231,   3007
80,   21190,   30175,   46164,   2975
160,   21112,   30144,   46220,   2993
240,   21152,   30144,   46231,   2994
320,   21074,   30152,   46154,   2960
400,   21169,   30179,   46254,   3009
480,   21089,   30175,   46176,   2963
560,   21193,   30194,   46219,   2994
640,   21189,   30152,   46228,   2985
720,   21108,   30113,   46201,   2975
800,   21106,   30179,   46241,   2996
880,   21170,   30204,   46204,   2984
960,   21148,   30148,   46211,   2990
1040,   21160,   30196,   46209,   2980
1120,   21166,   30136,   46235,   2990
1200,   21231,   30171,   46171,   2967
1280,   21162,   30146,   46283,   3028
1360,   21199,   30197,   46273,   3002
1440,   21182,   30177,   46240,   2985
1520,   21240,   30138,   46238,   2987
1600,   21183,   30146,   46185,   2966
1680,   21138,   30103,   46178,   2985
1760,   21175,   30166,   46205,   2983
1840,   21204,   30177,   46228,   2985
1920,   21237,   30201,   46252,   2997
2000,   21285,   30148,   46212,   2976
2080,   21256,   30191,   46279,   3008
2160,   21225,   30186,   46214,   2986
2240,   21201,   30168,   46220,   2993
2320,   21189,   30142,   46217,   2983
2400,   21167,   30242,   46207,   2981
2480,   21124,   30160,   46235,   3002
2560,   21129,   30179,   46229,   2984
2640,   21160,   30218,   46243,   3007
2720,   21188,   30160,   46248,   2990
2800,   21151,   30187,   46225,   3000
2880,   21108,   30158,   46184,   2967
2960,   21127,   30171,   46270,   3017
3040,   21045,   30208,   46209,   2980
3120,   21090,   30134,   46232,   2993
3200,   21102,   30204,   46266,   3009
3280,   21133,   30128,   46264,   2999
3360,   21127,   30144,   46169,   2969
3440,   21158,   30144,   46256,   3019
3520,   21122,   30247,   46211,   2965
3600,   21132,   30146,   46246,   3004
3680,   21091,   30115,   46251,   2999
3760,   21181,   30151,   46237,   3001
3840,   21199,   30097,   46221,   2992
3920,   21163,   30152,   46252,   3010
4000,   21130,   30158,   46233,   3004
4080,   21201,   30268,   46281,   2994
4160,   21197,   30199,   46250,   3000
4240,   21130,   30189,   46252,   2997
4320,   21179,   30194,   46281,   3019
4400,   21182,   30150,   46299,   3024
4480,   21203,   30199,   46250,   2987
4560,   21218,   30127,   46277,   3022
4640,   21159,   30144,   46207,   2981
4720,   21176,   30171,   46320,   3041
4800,   21158,   30208,   46258,   2992
4880,   21166,   30212,   46262,   3000
4960,   21126,   30203,   46267,   2995
5040,   21153,   30241,   46278,   3009
5120,   21127,   30150,   46225,   2987
5200,   21154,   30220,   46258,   3004
5280,   21103,   30183,   46221,   2980
5360,   21125,   30154,   46254,   2996
5440,   21158,   30229,   46254,   3009
5520,   21094,   30160,   46235,   2990
5600,   21097,   30243,   46169,   2957
5680,   21058,   30229,   46291,   3021
5760,   21071,   30194,   46194,   2982
5840,   21157,   30227,   46214,   2974
5920,   21049,   30214,   46178,   2960
6000,   21115,   30200,   46224,   2976
6080,   21054,   30192,   46241,   3009
6160,   21066,   30188,   46200,   2964
6240,   21098,   30175,   46249,   3001
6320,   21044,   30167,   46216,   2996
6400,   21009,   30262,   46212,   2989
6480,   21107,   30232,   46218,   2971
6560,   21118,   30153,   46214,   2974
6640,   21162,   30206,   46194,   2969
6720,   21110,   30208,   46246,   2992
6800,   21117,   30115,   46227,   2999
6880,   21173,   30239,   46276,   2999
6960,   21162,   30208,   46233,   2980
7040,   21165,   30160,   46223,   2990
7120,   21183,   30218,   46256,   2994
7200,   21166,   30196,   46209,   2992
7280,   21222,   30123,   46211,   2977
7360,   21213,   30249,   46299,   3024
7440,   21185,   30191,   46230,   2995
7520,   21180,   30173,   46198,   2977
7600,   21142,   30130,   46266,   3009
7680,   21145,   30254,   46229,   2996
7760,   21177,   30091,   46251,   2999
7840,   21122,   30185,   46235,   3002
7920,   21169,   30167,   46229,   2984
8000,   21142,   30160,   46223,   2977
8080,   21154,   30196,   46233,   2992
8160,   21102,   30148,   46248,   3014
8240,   21131,   30153,   46276,   3011
8320,   21136,   30138,   46237,   2989
8400,   21104,   30216,   46229,   2996
8480,   21072,   30099,   46197,   2991
8560,   21124,   30159,   46220,   2981
8640,   21131,   30206,   46219,   2994
8720,   21069,   30140,   46289,   3011
8800,   21117,   30223,   46284,   3016
8880,   21090,   30218,   46219,   2982
8960,   21201,   30198,   46210,   2978
9040,   21168,   30212,   46225,   2987
9120,   21126,   30156,   46281,   3007
9200,   21090,   30165,   46227,   2999
9280,   21108,   30237,   46237,   2976
9360,   21067,   30202,   46289,   3011
9440,   21121,   30211,   46210,   2978
9520,   21054,   30196,   46233,   2980
9600,   21060,   30200,   46237,   2989
9680,   21082,   30200,   46237,   3001
9760,   21107,   30177,   46276,   3011
9840,   21106,   30165,   46227,   2986
9920,   21116,   30126,   46237,   2989
10000,   21194,   30173,   46211,   2977
10080,   21119,   30181,   46257,   3005
10160,   21096,   30194,   46256,   2994
10240,   21111,   30206,   46281,   3007
10320,   21141,   30229,   46303,   3009
10400,   21140,   30210,   46235,   3002
10480,   21172,   30192,   46266,   2996
10560,   21228,   30273,   46250,   2987
10640,   21114,   30216,   46217,   2995
10720,   21160,   30206,   46281,   3019
10800,   21062,   30146,   46295,   3017
10880,   21091,   30161,   46259,   3003
10960,   21156,   30213,   46249,   3001
11040,   21149,   30130,   46241,   2996
11120,   21108,   30158,   46246,   2992
11200,   21106,   30216,   46340,   3034
11280,   21053,   30099,   46247,   3016
11360,   21091,   30124,   46210,   2978
11440,   21106,   30177,   46239,   2999
11520,   21080,   30167,   46254,   2996
11600,   21097,   30149,   46210,   2978
11680,   21064,   30140,   46214,   2986
11760,   21071,   30198,   46272,   3016
11840,   21052,   30159,   46232,   2993
11920,   21063,   30200,   46237,   3001
12000,   21076,   30184,   46257,   2993
12080,   21106,   30128,   46214,   2999
12160,   21062,   30177,   46239,   2999
12240,   21133,   30126,   46237,   3001
12320,   21091,   30177,   46227,   2986
12400,   21085,   30169,   46293,   3031
12480,   21080,   30225,   46237,   2989
12560,   21050,   30204,   46266,   3009
12640,   21031,   30204,   46241,   2996
12720,   21084,   30237,   46249,   3001
12800,   21049,   30105,   46266,   3021
12880,   21076,   30206,   46206,   2982
12960,   21052,   30204,   46254,   3009
13040,   20989,   30151,   46274,   3001
13120,   20999,   30198,   46259,   3016
13200,   21043,   30159,   46257,   2993
13280,   21040,   30151,   46249,   3001
13360,   21129,   30149,   46173,   2966
13440,   21096,   30173,   46248,   2990
13520,   21043,   30169,   46256,   2994
13600,   21132,   30126,   46237,   3001
13680,   21092,   30154,   46254,   3009
13760,   21039,   30154,   46229,   2984
13840,   21061,   30223,   46309,   3016
13920,   21083,   30151,   46237,   3001
14000,   20973,   30153,   46239,   2999
14080,   21038,   30143,   46240,   3010
14160,   21039,   30227,   46251,   2999
14240,   21058,   30149,   46259,   3003
14320,   20975,   30211,   46272,   3016
14400,   21037,   30190,   46288,   3025
14480,   21025,   30237,   46262,   3013
14560,   21045,   30147,   46319,   3030
14640,   21091,   30134,   46270,   3006
14720,   21076,   30190,   46239,   2999
14800,   20970,   30194,   46268,   3007
14880,   21077,   30249,   46284,   3004
14960,   21082,   30190,   46264,   2999
15040,   21090,   30225,   46262,   3001
15120,   21054,   30225,   46200,   2976
15200,   21055,   30161,   46173,   2978
15280,   21050,   30211,   46210,   2978
15360,   21089,   30136,   46222,   3003
15440,   21059,   30202,   46227,   2986
15520,   21045,   30173,   46297,   3016
15600,   21073,   30120,   46230,   2995
15680,   21107,   30163,   46212,   2989
15760,   21093,   30105,   46254,   3009
15840,   21040,   30196,   46283,   3017
15920,   20968,   30138,   46262,   3001
16000,   20990,   30205,   46265,   2998
16080,   21004,   30213,   46298,   3027
16160,   20959,   30196,   46245,   2993
16240,   21014,   30238,   46323,   3027
16320,   21034,   30246,   46257,   2993
16400,   21026,   30153,   46276,   3012
16480,   21011,   30171,   46245,   2993
16560,   21037,   30145,   46280,   3008
16640,   21015,   30167,   46265,   2998
16720,   21077,   30171,   46245,   2993
16800,   21110,   30200,   46249,   2989
16880,   21152,   30192,   46204,   2984
16960,   21056,   30208,   46270,   3004
17040,   21033,   30221,   46270,   2993
17120,   21076,   30194,   46268,   2995
17200,   20983,   30186,   46284,   3003
17280,   21018,   30205,   46253,   2998
17360,   20994,   30186,   46185,   2978
17440,   21022,   30190,   46238,   3000
17520,   21009,   30182,   46317,   3020
17600,   21040,   30205,   46240,   2985
17680,   20969,   30186,   46259,   2991
17760,   21007,   30238,   46273,   3015
17840,   21052,   30205,   46253,   3010
17920,   21034,   30194,   46180,   2958
18000,   20991,   30213,   46237,   2989
18080,   20947,   30188,   46224,   2977
18160,   21064,   30253,   46263,   3012
18240,   21144,   30173,   46235,   2991
18320,   21081,   30144,   46206,   2994
18400,   20975,   30196,   46282,   3018
18480,   21043,   30224,   46246,   3004
18560,   21030,   30176,   46248,   2990
18640,   21038,   30169,   46255,   3008
18720,   20982,   30201,   46311,   3027
18800,   21029,   30174,   46246,   3004
18880,   21034,   30167,   46216,   2998
18960,   21054,   30267,   46290,   2998
19040,   21051,   30230,   46290,   3010
19120,   21097,   30194,   46218,   2995
19200,   21008,   30209,   46270,   3018
19280,   21088,   30259,   46281,   2994
19360,   20962,   30258,   46257,   3006
19440,   21008,   30257,   46292,   3009
19520,   21039,   30139,   46236,   3002
19600,   21048,   30217,   46303,   3010
19680,   20993,   30219,   46280,   3020
19760,   20932,   30162,   46284,   3017
19840,   21019,   30243,   46315,   3011
19920,   21046,   30301,   46336,   3027
20000,   21011,   30126,   46273,   3002
20080,   21056,   30205,   46228,   2998
20160,   21040,   30186,   46222,   2978
20240,   21059,   30232,   46292,   3008
20320,   21004,   30155,   46240,   2998
20400,   20963,   30164,   46224,   3002
20480,   20996,   30186,   46234,   2980
20560,   21055,   30178,   46251,   3012
20640,   20977,   30192,   46253,   2998
20720,   20984,   30186,   46234,   2980
20800,   21003,   30135,   46244,   3007
20880,   21041,   30261,   46271,   2992
20960,   21073,   30145,   46255,   3008
21040,   21015,   30184,   46245,   3006
21120,   20922,   30215,   46226,   2987
21200,   21044,   30227,   46260,   3003
21280,   21071,   30283,   46257,   3006
21360,   21063,   30228,   46288,   3012
21440,   21006,   30207,   46243,   3008
21520,   20974,   30238,   46286,   3015
21600,   21016,   30197,   46257,   2994
21680,   20991,   30192,   46240,   2985
21760,   20987,   30188,   46298,   3015
21840,   21000,   30263,   46311,   3027
21920,   20999,   30249,   46271,   3004
22000,   20994,   30236,   46284,   3004
22080,   20944,   30232,   46267,   2997
22160,   20939,   30183,   46217,   2997
22240,   21003,   30202,   46310,   3016
22320,   21022,   30211,   46246,   2992
22400,   20988,   30203,   46276,   3012
22480,   20966,   30201,   46236,   2990
22560,   20948,   30245,   46304,   3022
22640,   20980,   30270,   46229,   2997
22720,   20856,   30208,   46267,   2997
22800,   21015,   30250,   46245,   2993
22880,   20942,   30201,   46273,   3002
22960,   20978,   30211,   46209,   2992
23040,   20932,   30236,   46246,   2992
23120,   20959,   30218,   46252,   2986
23200,   20923,   30184,   46257,   3007
23280,   20957,   30256,   46277,   3011
23360,   21044,   30147,   46232,   2982
23440,   21046,   30190,   46300,   3025
23520,   21115,   30207,   46243,   3008
23600,   21064,   30175,   46262,   3001
23680,   21039,   30155,   46253,   2998
23760,   20971,   30188,   46261,   3002
23840,   20971,   30274,   46309,   3029
23920,   20999,   30238,   46261,   3002
24000,   20991,   30188,   46261,   3002
24080,   21008,   30190,   46276,   3000
24160,   21031,   30203,   46251,   3000
24240,   21028,   30205,   46240,   2998
24320,   21062,   30242,   46278,   2998
24400,   21018,   30178,   46276,   3000
24480,   21003,   30228,   46251,   3000
24560,   21028,   30220,   46279,   3009
24640,   21033,   30188,   46224,   2977
24720,   20984,   30226,   46211,   2990
24800,   20986,   30249,   46284,   3017
24880,   20990,   30270,   46229,   2997
24960,   20912,   30197,   46182,   2957
25040,   21028,   30191,   46262,   3014
25120,   20980,   30162,   46259,   3017
25200,   20965,   30232,   46242,   2997
25280,   20961,   30195,   46267,   3009
25360,   20932,   30231,   46227,   2999
25440,   20972,   30218,   46265,   2999
25520,   20896,   30206,   46302,   3011
25600,   20900,   30189,   46273,   3003
25680,   20917,   30218,   46265,   2999
25760,   20959,   30131,   46227,   2999
25840,   21013,   30208,   46254,   2997
25920,   20974,   30205,   46290,   3010
26000,   20929,   30263,   46273,   3002
26080,   20949,   30220,   46279,   3009
26160,   20957,   30149,   46271,   3004
26240,   20961,   30188,   46261,   3002
26320,   20986,   30220,   46317,   3022
26400,   20974,   30153,   46263,   3000
26480,   20990,   30183,   46304,   3022
26560,   21010,   30151,   46224,   3002
26640,   21029,   30203,   46226,   2987
26720,   21051,   30228,   46176,   2975
26800,   21005,   30207,   46243,   3008
26880,   21028,   30178,   46300,   3012
26960,   21028,   30192,   46228,   2998
27040,   20999,   30139,   46224,   3002
27120,   20967,   30164,   46211,   2990
27200,   20974,   30220,   46242,   2997
27280,   20879,   30183,   46242,   2984
27360,   20891,   30241,   46237,   2989
27440,   20906,   30166,   46225,   3001
27520,   20934,   30227,   46210,   2978
27600,   20920,   30218,   46265,   3011
27680,   20924,   30257,   46254,   2997
27760,   20887,   30181,   46202,   2986
27840,   20955,   30204,   46225,   2989
27920,   20951,   30137,   46221,   3004
28000,   20882,   30143,   46240,   3011
